Epochs,Overall- train,Overall- test,"Blond, male- train","Blond, female- train","Not blond, male- train","Not blond, female- train","Blond, male- test","Blond, female- test","Not blond, male- test","Not blond, female- test"
1.0,0.8515,0.864,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
2.0,0.872,0.893,0.0,0.2306338028169014,0.9773700305810398,0.9932241671372106,0.2,0.2748091603053435,0.9928057553956835,0.9888143176733781
3.0,0.88675,0.895,0.34615384615384615,0.6197183098591549,0.9149847094801223,0.9542631281761716,0.6,0.6183206106870229,0.9304556354916067,0.9463087248322147
4.0,0.888,0.903,0.038461538461538464,0.35563380281690143,0.9749235474006116,0.9909655561829475,0.0,0.3969465648854962,0.9832134292565947,0.9865771812080537
5.0,0.906,0.908,0.11538461538461539,0.5211267605633803,0.9681957186544342,0.9836250705815923,0.0,0.5190839694656488,0.9712230215827338,0.9731543624161074
6.0,0.91475,0.912,0.15384615384615385,0.5598591549295775,0.9761467889908257,0.9830604178430266,0.0,0.5267175572519084,0.988009592326139,0.9642058165548099
7.0,0.91475,0.911,0.07692307692307693,0.5193661971830986,0.9834862385321101,0.9904009034443817,0.0,0.5038167938931297,0.988009592326139,0.9686800894854586
8.0,0.9285,0.918,0.34615384615384615,0.6672535211267606,0.9743119266055046,0.9785431959345002,0.0,0.6335877862595419,0.9832134292565947,0.9507829977628636
9.0,0.92175,0.896,0.5,0.8591549295774648,0.9345565749235474,0.9361942405420667,0.0,0.8015267175572519,0.9448441247002398,0.8881431767337807
10.0,0.93575,0.92,0.34615384615384615,0.7429577464788732,0.9743119266055046,0.9706380575945793,0.0,0.6946564885496184,0.9808153477218226,0.9395973154362416
11.0,0.937,0.922,0.34615384615384615,0.6848591549295775,0.982874617737003,0.9841897233201581,0.0,0.6183206106870229,0.988009592326139,0.959731543624161
12.0,0.93975,0.922,0.3076923076923077,0.7482394366197183,0.9749235474006116,0.9779785431959345,0.0,0.6793893129770993,0.9784172661870504,0.9507829977628636
13.0,0.93775,0.921,0.23076923076923078,0.6461267605633803,0.9920489296636086,0.9915302089215132,0.0,0.5419847328244275,0.9928057553956835,0.9753914988814317
14.0,0.9285,0.903,0.5384615384615384,0.9084507042253521,0.9480122324159022,0.9226425748164878,0.0,0.8702290076335878,0.9496402877697842,0.8791946308724832
15.0,0.94075,0.927,0.3076923076923077,0.6619718309859155,0.9938837920489296,0.9904009034443817,0.0,0.5954198473282443,0.9928057553956835,0.9731543624161074
16.0,0.93875,0.926,0.3076923076923077,0.6355633802816901,0.9951070336391438,0.9932241671372106,0.0,0.5572519083969466,0.9928057553956835,0.9821029082774049
17.0,0.93875,0.916,0.5384615384615384,0.8996478873239436,0.963302752293578,0.9345002823263693,0.0,0.8625954198473282,0.9664268585131894,0.8948545861297539
18.0,0.9575,0.927,0.46153846153846156,0.8609154929577465,0.982262996941896,0.9728966685488425,0.0,0.7709923664122137,0.9760191846522782,0.9373601789709173
19.0,0.9575,0.92,0.34615384615384615,0.7640845070422535,0.9951070336391438,0.9937888198757764,0.0,0.549618320610687,0.9952038369304557,0.9686800894854586
20.0,0.9575,0.915,0.5769230769230769,0.9190140845070423,0.981651376146789,0.9531338226990401,0.0,0.8244274809160306,0.9592326139088729,0.9105145413870246
21.0,0.904,0.861,0.7307692307692307,0.9507042253521126,0.9388379204892966,0.8594014680971203,0.0,0.8625954198473282,0.9304556354916067,0.8053691275167785
22.0,0.9725,0.928,0.5384615384615384,0.897887323943662,0.9926605504587156,0.9841897233201581,0.0,0.7251908396946565,0.9928057553956835,0.9373601789709173
23.0,0.9672499999999999,0.931,0.5384615384615384,0.852112676056338,0.9926605504587156,0.987012987012987,0.0,0.6946564885496184,0.9952038369304557,0.9507829977628636
24.0,0.96425,0.924,0.6153846153846154,0.9507042253521126,0.9767584097859328,0.9621682665160926,0.0,0.8320610687022901,0.9784172661870504,0.9105145413870246
25.0,0.93075,0.911,0.11538461538461539,0.5598591549295775,0.998776758409786,0.9988706945228685,0.0,0.3969465648854962,0.9976019184652278,0.9910514541387024
26.0,0.95725,0.927,0.3076923076923077,0.7447183098591549,0.998165137614679,0.9971767363071711,0.0,0.5954198473282443,0.9952038369304557,0.970917225950783
27.0,0.949,0.926,0.38461538461538464,0.6795774647887324,0.998165137614679,0.9983060417843026,0.0,0.5267175572519084,1.0,0.9843400447427293
28.0,0.97475,0.935,0.5384615384615384,0.8802816901408451,0.9969418960244648,0.9909655561829475,0.0,0.7175572519083969,0.9928057553956835,0.9552572706935123
29.0,0.97925,0.927,0.6153846153846154,0.9225352112676056,0.9969418960244648,0.9864483342744212,0.0,0.732824427480916,0.9856115107913669,0.9395973154362416
30.0,0.978,0.928,0.5769230769230769,0.8890845070422535,0.998165137614679,0.9937888198757764,0.0,0.7022900763358778,0.9832134292565947,0.9530201342281879
31.0,0.96575,0.923,0.46153846153846156,0.801056338028169,0.998776758409786,0.9954827780914738,0.0,0.5877862595419847,0.9928057553956835,0.9664429530201343
32.0,0.975,0.929,0.6538461538461539,0.8961267605633803,0.9957186544342508,0.9858836815358555,0.0,0.7251908396946565,0.988009592326139,0.9440715883668904
33.0,0.9815,0.928,0.7692307692307693,0.9612676056338029,0.9938837920489296,0.9796725014116319,0.0,0.8015267175572519,0.9808153477218226,0.9261744966442953
34.0,0.9835,0.922,0.8076923076923077,0.9102112676056338,0.999388379204893,0.9949181253529079,0.0,0.7099236641221374,0.9784172661870504,0.941834451901566
35.0,0.985,0.926,0.7692307692307693,0.9700704225352113,0.9957186544342508,0.9830604178430266,0.0,0.7862595419847328,0.9784172661870504,0.9284116331096197
36.0,0.979,0.9319999999999999,0.5769230769230769,0.8802816901408451,1.0,0.9971767363071711,0.0,0.6183206106870229,0.9952038369304557,0.9753914988814317
37.0,0.98525,0.935,0.8461538461538461,0.9647887323943662,0.9957186544342508,0.9841897233201581,0.0,0.7938931297709924,0.9832134292565947,0.941834451901566
38.0,0.96475,0.925,0.5,0.8538732394366197,0.9896024464831804,0.9841897233201581,0.0,0.7251908396946565,0.9808153477218226,0.941834451901566
39.0,0.9695,0.9,0.9230769230769231,0.9876760563380281,0.9767584097859328,0.9576510446075663,0.2,0.8702290076335878,0.9328537170263789,0.8859060402684564
40.0,0.9855,0.937,0.8076923076923077,0.9524647887323944,0.9963302752293578,0.9887069452286844,0.0,0.7862595419847328,0.9928057553956835,0.9395973154362416
41.0,0.99275,0.929,0.9230769230769231,0.9823943661971831,0.9975535168195718,0.9926595143986449,0.0,0.816793893129771,0.973621103117506,0.930648769574944
42.0,0.98425,0.925,0.7692307692307693,0.8996478873239436,1.0,1.0,0.0,0.6106870229007634,0.988009592326139,0.9686800894854586
43.0,0.98725,0.919,0.9230769230769231,0.9559859154929577,0.9914373088685016,0.9943534726143421,0.0,0.7480916030534351,0.973621103117506,0.9284116331096197
44.0,0.977,0.92,0.5384615384615384,0.8591549295774648,1.0,1.0,0.0,0.5343511450381679,0.9952038369304557,0.9731543624161074
45.0,0.992,0.933,0.7307692307692307,0.9647887323943662,0.998776758409786,0.9983060417843026,0.0,0.6946564885496184,0.9952038369304557,0.9552572706935123
46.0,0.9785,0.902,0.9230769230769231,0.9876760563380281,0.9834862385321101,0.9717673630717109,0.0,0.8015267175572519,0.947242206235012,0.8993288590604027
47.0,0.96325,0.905,0.9615384615384616,0.9735915492957746,0.9712538226299694,0.9525691699604744,0.0,0.8625954198473282,0.9376498800959233,0.8970917225950783
48.0,0.99325,0.928,0.8846153846153846,0.9859154929577465,0.998165137614679,0.9926595143986449,0.0,0.8091603053435115,0.9640287769784173,0.9395973154362416
49.0,0.9915,0.9299999999999999,0.9230769230769231,0.9841549295774648,0.9926605504587156,0.9937888198757764,0.0,0.8015267175572519,0.973621103117506,0.9373601789709173
50.0,0.99525,0.92,0.9230769230769231,0.9823943661971831,0.998776758409786,0.9971767363071711,0.0,0.7633587786259542,0.973621103117506,0.9261744966442953
51.0,0.98925,0.924,0.7307692307692307,0.9383802816901409,0.999388379204893,1.0,0.0,0.6641221374045801,0.9904076738609112,0.9485458612975392
52.0,0.987,0.906,0.9230769230769231,0.9911971830985915,0.9951070336391438,0.9791078486730661,0.0,0.8473282442748091,0.9544364508393285,0.8881431767337807
53.0,0.97975,0.919,0.8076923076923077,0.8961267605633803,0.9926605504587156,0.9971767363071711,0.0,0.6641221374045801,0.9760191846522782,0.9507829977628636
54.0,0.98925,0.9299999999999999,0.8076923076923077,0.9419014084507042,1.0,0.9971767363071711,0.0,0.6641221374045801,0.9904076738609112,0.9619686800894854
55.0,0.982,0.919,0.8461538461538461,0.903169014084507,0.9963302752293578,0.9960474308300395,0.0,0.6412213740458015,0.9760191846522782,0.9574944071588367
56.0,0.996,0.9299999999999999,0.9615384615384616,0.9859154929577465,0.999388379204893,0.9966120835686053,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
57.0,0.99725,0.926,0.9230769230769231,0.9911971830985915,0.998776758409786,0.9988706945228685,0.0,0.7557251908396947,0.9784172661870504,0.9373601789709173
58.0,0.996,0.9339999999999999,0.9615384615384616,0.9735915492957746,1.0,1.0,0.0,0.6946564885496184,0.9832134292565947,0.9686800894854586
59.0,0.99525,0.9359999999999999,0.8846153846153846,0.9735915492957746,1.0,0.9994353472614342,0.0,0.7022900763358778,0.9928057553956835,0.9619686800894854
60.0,0.99425,0.912,1.0,1.0,0.9957186544342508,0.9909655561829475,0.0,0.8320610687022901,0.9592326139088729,0.901565995525727
61.0,0.99925,0.929,1.0,0.9947183098591549,1.0,1.0,0.0,0.7099236641221374,0.988009592326139,0.9485458612975392
62.0,1.0,0.926,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9784172661870504,0.9328859060402684
63.0,0.99575,0.924,1.0,0.9982394366197183,0.999388379204893,0.9915302089215132,0.0,0.7786259541984732,0.9760191846522782,0.9284116331096197
64.0,0.99975,0.929,1.0,0.9982394366197183,1.0,1.0,0.0,0.7175572519083969,0.9904076738609112,0.9440715883668904
65.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7786259541984732,0.9832134292565947,0.9351230425055929
66.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9395973154362416
67.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
68.0,1.0,0.9319999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9440715883668904
69.0,1.0,0.928,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9832134292565947,0.9373601789709173
70.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9395973154362416
71.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
72.0,1.0,0.929,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9328859060402684
73.0,1.0,0.929,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9351230425055929
74.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9395973154362416
75.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
76.0,1.0,0.9319999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.941834451901566
77.0,1.0,0.9319999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9440715883668904
78.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9395973154362416
79.0,1.0,0.9319999999999999,1.0,1.0,1.0,1.0,0.0,0.7786259541984732,0.9856115107913669,0.9373601789709173
80.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
81.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9395973154362416
82.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
83.0,1.0,0.9319999999999999,1.0,1.0,1.0,1.0,0.0,0.7786259541984732,0.9856115107913669,0.9373601789709173
84.0,1.0,0.929,1.0,1.0,1.0,1.0,0.0,0.7480916030534351,0.9856115107913669,0.9395973154362416
85.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7480916030534351,0.9856115107913669,0.941834451901566
86.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
87.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9395973154362416
88.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
89.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
90.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7557251908396947,0.9856115107913669,0.9395973154362416
91.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
92.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7480916030534351,0.9856115107913669,0.941834451901566
93.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
94.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
95.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
96.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
97.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
98.0,1.0,0.9299999999999999,1.0,1.0,1.0,1.0,0.0,0.7633587786259542,0.9856115107913669,0.9373601789709173
99.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
100.0,1.0,0.931,1.0,1.0,1.0,1.0,0.0,0.7709923664122137,0.9856115107913669,0.9373601789709173
